category,parameter,value,classification,origin_and_rationale,verification,limitation,source
Segmentation,"Sigmoid binarization",0.50,"fixed engineering decision","Neutral midpoint of the sigmoid output; kept identical across architectures and targets so the controlled comparison did not tune a different cutoff for each model.","The same cutoff is recorded in training and final inference code.","No class-specific threshold sweep or external calibration was performed.","Codigos_Pipeline_Experimental_Segmentacion/src/metrics.py; Codigos_Pipeline_Experimental_Segmentacion/src/longitudinal_inference.py"
Segmentation,"Training constants","image 512; batch 2; LR 0.001; weight decay 0.0001; maximum 50 epochs; early stopping 10 or 15","fixed controlled-experiment design","A common optimization budget was used to isolate architecture and transfer-initialization effects. LA used patience 15 rather than 10 because its validation criterion combines positive-mask overlap and empty-mask false positives.","Nine final pretrained runs were reconciled against configurations, logs and the same 101 test identifiers.","These values establish comparability, not global optimality.","results/tables/segmentation_training_record_audit.csv"
Longitudinal post-processing,"Largest-component cleanup floors","ROI max(16,500s); liver max(16,200s); LA max(4,8s), s=HW/786432","fixed engineering safeguards","Remove isolated pixel islands before anatomical measurements while retaining very small candidate LA regions. Scaling preserves the same fractional meaning at other frame sizes.","Applied identically in external inference; the code contains no hole filling.","No grid search quantified the individual influence of these cleanup floors.","Codigos_Pipeline_Experimental_Segmentacion/src/longitudinal_inference.py:postprocess_masks"
Longitudinal presence,"ROI, black-frame, liver and LA gates","ROI/frame >=0.05; >0.80 pixels below intensity 15 rejected; liver >=200s; liver/ROI >=0.15; LA >=50s","fixed engineering safeguards","Prevent a trivial component, mostly black frame, very small liver prediction or tiny LA artifact from entering the feature rule. The 786432 reference area is exactly 1024x768.","P005 leave-one-gate-out records show ROI/liver gates were not the external bottleneck; LA presence and area were limiting.","The gates were not optimized on an independent cohort and must be recalibrated for other equipment or image geometry.","configs/longitudinal_decision_config.json; results/tables/longitudinal_leave_one_gate_out.csv"
Longitudinal features,"LA area cutoff",874 px at 1024x768,"development-distribution threshold","Integer result of max(20,P5) over 54 clear train/validation cases with LA and valid texture region. A lower-tail cutoff retains approximately 95 percent of the reference areas while excluding unusually small candidates; the floor 20 was inactive because P5 was 874.7.","threshold_summary.csv reproduces 874; P005 ablation shows seven medium acceptances only when this gate is removed.","Reference cases are dominated by P001 and no external threshold optimization was performed.","Codigos_Segmentacion_Longitudinal/05_definir_umbral_aceptabilidad.py; results/tables/threshold_summary.csv"
Longitudinal features,"LA intensity standard-deviation cutoff",43.330219,"development-distribution threshold","P90 of the same 54 clear train/validation cases. An upper-tail cutoff lets approximately 90 percent of the clear reference distribution pass while rejecting unusually dispersed lumen intensities.","Stored source-resolution measurements reproduce the percentile.","Dataset-specific image-quality proxy; no causal physiological interpretation or independent calibration.","Codigos_Segmentacion_Longitudinal/05_definir_umbral_aceptabilidad.py; results/tables/glcm_longitudinal_metrics_with_thresholds.csv"
Longitudinal features,"GLCM entropy cutoff",6.125722,"development-distribution threshold","P90 of the same 54 clear train/validation cases. The upper-tail cutoff retains approximately 90 percent of the reference entropy distribution and rejects unusually diverse gray-level-pair patterns.","Stored GLCM measurements reproduce the percentile.","Performance contribution could not be isolated in P005 because no anchor case passed the upstream LA gates.","Codigos_Segmentacion_Longitudinal/05_definir_umbral_aceptabilidad.py; results/tables/longitudinal_leave_one_gate_out.csv"
GLCM,"Quantization and directions","32 gray levels; distance 1; offsets 0, 45, 90 and 135 degrees; symmetric matrices; mean over valid offsets","fixed representation design","Thirty-two levels reduce the matrix from 65536 to 1024 cells relative to 256 levels, improving count stability in a small mask. Four unit-distance directions reduce dependence on one image orientation while preserving local texture.","The code records contrast, entropy, homogeneity, energy and valid-pair count; only entropy enters the decision.","No levels or offset ablation was performed.","Codigos_Pipeline_Experimental_Segmentacion/src/longitudinal_quality_rules.py:compute_glcm_features"
GLCM region,"LA dilation",15x15 square; one iteration,"fixed spatial-neighborhood decision","An odd centered kernel expands LA by seven pixels per side to include immediate perivascular context and provide enough within-mask pixel pairs for GLCM; intersection with ROI prevents inclusion outside the ultrasound field.","The reproducible region figure and valid-pair counts verify the implemented geometry.","No kernel-size sweep or physical pixel-spacing calibration was available.","Codigos_Pipeline_Experimental_Segmentacion/src/longitudinal_quality_rules.py:compute_valid_lumen_region"
Border region,"LA border ring",9x9 square; one iteration,"fixed spatial-neighborhood decision","An odd centered kernel expands LA by four pixels per side; subtracting LA isolates a narrower local ring than the texture neighborhood so border contrast is measured immediately outside the lumen.","The region figure distinguishes the border ring from the GLCM region.","No kernel-size sweep or physical pixel-spacing calibration was available.","Codigos_Pipeline_Experimental_Segmentacion/src/longitudinal_quality_rules.py:evaluate_border_rule"
